,Country Name,2007,2017,Population Mean,Country Code,Population,Average Air Miles from US,Per Capita Exports
0,World,1148198722191,1546272961061,1409047483296.2727,WLD,7442135578.0,0,189.33375622201984
1,Canada,248888144575,282265135262,271029186056.63635,CAN,36286425.0,1406.0,7469.161981557466
2,Mexico,135918138711,243314438647,197331464791.72726,MEX,127540423.0,1012.0,1547.2072316376689
3,China,62936891576,129893586716,101402861792.18182,CHN,1378665000.0,7252.0,73.55148770164023
4,Japan,61159582766,67605076964,63548283190.81818,JPN,126994511.0,6321.0,500.401810207515
5,United Kingdom,49981491297,56257922547,52489492766.181816,GBR,65637239.0,4255.0,799.6907482074591
6,Germany,49419703142,53896753486,49415787862.63636,DEU,82667685.0,4898.0,597.7642637825936
7,South Korea,34401709969,48326408702,40242589466.0,KOR,51250000.0,6690.0,785.2212578731708
8,Netherlands,32836958949,41510332962,39039003982.0,NLD,17018408.0,4676.0,2293.928079641762
9,Hong Kong,19901654480,39939130227,32559504853.454544,HKG,7347000.0,7903.0,4431.673452219211
10,Brazil,24172315213,37221566249,35476350314.72727,BRA,207652865.0,4537.0,170.84450202373694
11,France,26675969747,33595514399,29587001946.636364,FRA,66896109.0,4775.0,442.28285305257987
12,Belgium,25258518805,29923692464,29402837070.363636,BEL,11348159.0,4706.0,2590.978595767264
13,Singapore,25618565860,29805915154,28397218823.363636,SGP,5607283.0,9506.0,5064.345570459639
14,Taiwan,25828669191,25729504439,25031628058.0,,23580000.0,7619.0,1061.5618345207804
15,India,14968845536,25688861698,20370555367.909092,IND,1324171354.0,8448.0,15.383624865750638
16,Australia,19178197903,24526835921,24191122198.272724,AUS,24127159.0,9437.0,1002.6510870290499
17,Switzerland,17039261465,21684835238,22142144363.18182,CHE,8372098.0,4990.0,2644.7545601092843
18,United Arab Emirates,10786648688,20019696481,18141661930.454544,ARE,9269612.0,7822.0,1957.111250228655
19,Italy,14149624058,18404689805,15754577181.545454,ITA,60600590.0,5369.0,259.97399004771165
20,Saudi Arabia,10395890781,16348000104,15352939522.363638,SAU,32275687.0,7525.0,475.68126194691496
21,Chile,8148107198,13605342592,13733825783.363638,CHL,17909754.0,5241.0,766.8349762572751
22,Colombia,8557677097,13312122946,13936887807.727272,COL,48653419.0,2617.0,286.4523828783188
23,Malaysia,11680201598,12964461912,12668501288.272728,MYS,31187265.0,9371.0,406.2075109270636
24,Israel,12887477039,12550082579,13142499404.363638,ISR,8547100.0,6762.0,1537.6559773915876
25,Spain,9766108527,11063740551,10348118861.09091,ESP,46443959.0,4730.0,222.80871579209924
26,Thailand,8336419189,10991613094,10128656397.181818,THA,68863514.0,8630.0,147.08306051854714
27,Ireland,7776969775,10707555883,8074777966.090909,IRL,4773095.0,4132.0,1691.7278969077524
28,Turkey,6498756060,9741491909,10327701608.181818,TUR,79512426.0,6341.0,129.88789460633257
29,Argentina,5855853074,9585957928,8649402342.0,ARG,43847430.0,5584.0,197.2613296149854
30,Peru,4119773437,8662612010,7740953507.545455,PER,31773839.0,3455.0,243.6266359738732
31,Philippines,7712299275,8450925039,7852334404.727273,PHL,103320222.0,8222.0,75.99997612013719
32,Viet Nam,1903057411,8133364685,5139564909.181818,,92700000.0,8584.0,55.442987154064916
