Country,2007 US Exports ($),2017 US Exports ($)
Niue,1662323.0,86722.0
Nauru,8140371.0,198927.0
Tokelau Islands,55422404.0,1162557.0
Syrian Arab Republic,361420332.0,6961023.0
North Korea,1728160.0,2660.0
