Item,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
94--FURNITURE; BEDDING ETC; LAMPS NESOI ETC; PREFAB BD,164640322,177743607,113941347,191957010,221868067,218956209,234000792,298505216,314639121,286291279,281082917
05--PRODUCTS OF ANIMAL ORIGIN; NESOI,78303554,104556170,100906176,151136226,159426609,154324126,163832219,189676116,266200493,254085015,269390023
68--ART OF STONE; PLASTER; CEMENT; ASBESTOS; MICA ETC.,100196229,112040812,113028227,164287909,207295054,167911480,159148729,203567692,227408340,244099708,266056019
20--PREP VEGETABLES; FRUIT; NUTS OR OTHER PLANT PARTS,73002644,94353181,114743169,145346274,170680150,191432496,172653856,175070498,228495500,266336071,232384815
75--NICKEL AND ARTICLES THEREOF,148718093,195578461,174708324,185112020,226443628,258642909,243167972,252926770,232919249,199221939,229514700
21--MISCELLANEOUS EDIBLE PREPARATIONS,87250698,116097841,95977302,103466019,119024012,148939354,225160535,201394425,162093375,147440656,198521386
95--TOYS; GAMES & SPORT EQUIPMENT; PARTS & ACCESSORIES,78780039,67903217,138707806,417092510,596577167,303496266,250768865,111301462,160206404,182011147,190405597
83--MISCELLANEOUS ARTICLES OF BASE METAL,79279547,98186136,99590529,115133736,127965897,131449590,145665922,166874239,167891655,187385949,188505854
56--WADDING; FELT ETC; SP YARN; TWINE; ROPES ETC.,228814533,264117437,182455058,207487124,221672196,214614094,203635032,193610726,165788908,163271776,185722622
82--TOOLS; CUTLERY ETC. OF BASE METAL & PARTS THEREOF,137081803,168411333,141112778,211281986,257343950,215030029,212707894,225543765,192694977,179901842,185694242
22--BEVERAGES; SPIRITS AND VINEGAR,25465218,33997701,46868440,54567051,75528743,92445040,124658820,128335701,240472662,433308160,184012561
55--MANMADE STAPLE FIBERS; INCL YARNS & WOVEN FABRICS,303549800,358439571,401735969,471785302,572123009,561857345,560385552,503536710,306605040,217207306,173606441
24--TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,68305545,111398081,122593312,152020796,117125289,125459626,178785750,216755599,198088633,172285286,162683352
49--PRINTED BOOKS; NEWSPAPERS ETC; MANUSCRIPTS ETC,93535168,141900570,102450355,143990303,146540345,155902896,149309865,184076369,188822327,170521288,153965796
81--BASE METALS NESOI; CERMETS; ARTICLES THEREOF,289343793,326979496,160526295,161159209,153705578,157422909,132116635,138025881,164663417,134385311,143348827
69--CERAMIC PRODUCTS,49294817,47194029,26868031,71250575,96952689,64542803,65415694,92986323,89625381,109366331,120241058
54--MANMADE FILAMENTS; INCLUDING YARNS & WOVEN FABRICS,61964538,74251654,44351512,97917891,101446108,100383531,121216604,122942215,98824368,101687505,113010008
59--IMPREGNATED ETC TEXT FABRICS; TEX ART FOR INDUSTRY,63734338,70602003,66215324,83850887,86156110,94315639,109697908,100436101,93394332,92728362,112920118
64--FOOTWEAR; GAITERS ETC. AND PARTS THEREOF,38702713,37579420,45876193,57769380,61796508,54063183,51407260,55978695,81299898,89867002,108769823
31--FERTILIZERS,96981807,161773098,137044746,69411374,175859711,75793402,176122257,137268608,105025959,74279183,103354646
97--WORKS OF ART; COLLECTORS' PIECES AND ANTIQUES,33512310,75051270,43347609,31178035,71507786,64625921,73968898,133486159,101272167,83671628,92770907
19--PREP CEREAL; FLOUR; STARCH OR MILK; BAKERS WARES,15982414,21763989,14642176,24075757,51881306,76707843,46925425,52769068,87539680,72938173,89330524
17--SUGARS AND SUGAR CONFECTIONARY,40512767,23622812,32205086,44798708,81535700,131247664,118645653,113463452,74413764,63256937,79086346
42--LEATHER ART; SADDLERY ETC; HANDBAGS ETC; GUT ART,18842334,20654784,27100085,18917053,20828299,22134162,29324301,34022891,63488729,53733855,77875007
